qsort CPU 0.033042
set inverses CPU 0.019948
Scaling parameter is 1024
499<-358<-330<-0 adds 2 incremental flow
499<-274<-342<-0 adds 2 incremental flow
499<-304<-342<-0 adds 2 incremental flow
499<-236<-344<-0 adds 2 incremental flow
499<-88<-360<-0 adds 3 incremental flow
Scaling parameter is 1
499<-36<-38<-0 adds 1 incremental flow
499<-75<-82<-0 adds 1 incremental flow
499<-84<-121<-0 adds 1 incremental flow
499<-4<-125<-0 adds 1 incremental flow
499<-122<-137<-0 adds 1 incremental flow
499<-179<-145<-0 adds 1 incremental flow
499<-53<-188<-0 adds 1 incremental flow
499<-16<-233<-0 adds 1 incremental flow
499<-246<-241<-0 adds 1 incremental flow
499<-326<-290<-0 adds 1 incremental flow
499<-149<-292<-0 adds 1 incremental flow
499<-302<-308<-0 adds 1 incremental flow
499<-339<-316<-0 adds 1 incremental flow
499<-281<-360<-0 adds 1 incremental flow
471 augmenting paths
total flow is 113241
Ford-Fulkerson time 0.062014
